ip,score,requests,max_rps,unique_paths,reason_tags
120.234.61.168,114.4,21851,173,879,"[""high-volume"", ""scan-probe"", ""burst"", ""sensitive-path"", ""auth-burst"", ""large-response"", ""server-error-touch"", ""bulk-enumeration""]"
112.97.203.114,105.2,10422,197,9424,"[""high-volume"", ""scan-probe"", ""burst"", ""sensitive-path"", ""auth-burst"", ""server-error-touch"", ""large-response""]"
219.133.80.154,96.39,1773,32,836,"[""high-volume"", ""scan-probe"", ""burst"", ""sensitive-path"", ""auth-burst"", ""server-error-touch"", ""large-response""]"
183.238.10.154,79.41,1590,24,159,"[""high-volume"", ""burst"", ""sensitive-path"", ""auth-burst"", ""server-error-touch"", ""large-response""]"
223.160.224.36,64.76,2211,37,62,"[""high-volume"", ""burst"", ""sensitive-path"", ""bulk-enumeration""]"
223.104.79.38,61.33,824,27,98,"[""high-volume"", ""burst"", ""sensitive-path"", ""bulk-enumeration""]"
113.84.194.100,57.36,700,35,173,"[""high-volume"", ""burst"", ""sensitive-path"", ""auth-burst""]"
43.247.70.12,53.2,495,49,168,"[""burst"", ""large-response"", ""sensitive-path"", ""auth-burst"", ""server-error-touch""]"
113.88.95.148,46.0,150,22,88,"[""burst"", ""large-response"", ""sensitive-path""]"
112.97.81.121,42.0,131,15,101,"[""burst"", ""sensitive-path"", ""large-response""]"
123.168.84.249,42.0,94,12,79,"[""burst"", ""sensitive-path"", ""large-response""]"
113.84.65.63,32.9,188,34,59,"[""burst"", ""sensitive-path"", ""server-error-touch""]"
45.138.16.206,32.0,57,28,57,"[""burst"", ""server-error-touch"", ""sensitive-path""]"
223.104.79.67,30.0,423,33,182,"[""burst"", ""sensitive-path""]"
58.60.110.201,30.0,171,16,82,"[""burst"", ""sensitive-path""]"
119.123.133.112,30.0,158,21,103,"[""burst"", ""sensitive-path""]"
183.39.19.71,30.0,145,25,121,"[""burst"", ""sensitive-path""]"
223.104.86.78,30.0,142,21,107,"[""burst"", ""sensitive-path""]"
113.84.209.96,30.0,111,12,81,"[""burst"", ""sensitive-path""]"
223.104.86.72,30.0,108,18,96,"[""burst"", ""sensitive-path""]"
223.104.87.157,30.0,84,17,41,"[""burst"", ""sensitive-path""]"
223.104.79.103,30.0,83,14,47,"[""burst"", ""sensitive-path""]"
223.104.68.79,30.0,80,19,69,"[""burst"", ""sensitive-path""]"
183.17.53.247,29.9,91,23,60,"[""burst"", ""server-error-touch"", ""sensitive-path""]"
14.127.46.70,27.6,74,25,57,"[""burst"", ""sensitive-path""]"
163.125.144.200,27.4,78,27,59,"[""burst"", ""sensitive-path"", ""server-error-touch""]"
223.104.68.131,26.4,101,12,61,"[""burst"", ""sensitive-path""]"
171.110.32.40,25.8,73,13,66,"[""burst"", ""sensitive-path""]"
14.154.6.6,25.8,69,14,66,"[""burst"", ""sensitive-path""]"
223.104.79.118,25.2,220,21,33,"[""burst"", ""sensitive-path""]"
113.92.75.228,24.0,71,14,63,"[""burst"", ""sensitive-path""]"
223.104.68.117,23.4,75,19,70,"[""burst"", ""sensitive-path""]"
113.84.161.142,23.4,74,25,59,"[""burst"", ""sensitive-path""]"
113.84.208.139,22.8,67,17,61,"[""burst"", ""sensitive-path""]"
223.160.229.96,21.3,65,11,59,"[""burst"", ""sensitive-path""]"
112.97.86.128,19.2,60,19,47,"[""burst"", ""large-response""]"
